AuthorID,Author,Date,Content,Attachments,Reactions
7.57355E+17,neko neko#4061,2020-09-21 7:35,BTO FSLY 9/25 100c @1.0 @here (scalp/day-trade),,BullTrades (5)
7.57355E+17,neko neko#4061,2020-09-21 7:47,STC FSLY 9/25 100c @1.6 @here I took out half.,,"BullTrades (6),gains (2)"
7.57355E+17,neko neko#4061,2020-09-21 7:48,Will take another 1/4th out at 100%,,
7.57355E+17,neko neko#4061,2020-09-21 8:02,"We will leave FSLY to do it's thing, the rest of the positions will be stopped at entry price (1.0).",,
7.57355E+17,neko neko#4061,2020-09-21 8:03,,https://cdn.discordapp.com/attachments/738943464259059752/757602881833533591/Screen_Shot_2020-09-21_at_7.03.12_AM.png,robbie (3)
7.57355E+17,neko neko#4061,2020-09-21 8:09,"We will see what happens w/ FSLY next 10m candle, needs 89.55 for me to stay in.",,
3.96702E+17,Father#4214,2020-09-21 8:44,@everyone BTO TSLA 600c 9/25 @ 3.6,,"vince (2),robbie (1),👍 (1)"
3.96702E+17,Father#4214,2020-09-21 8:48,@everyone STC TSLA 600c 9/25 @ 4.25,,
3.96702E+17,Father#4214,2020-09-21 8:49,"Could see a retest of $430 on the share price; however, this was a safer exit regardless",,👍 (2)
7.57355E+17,neko neko#4061,2020-09-21 8:52,BTO ZM 9/25 540c @1.45 @here (scalp/day-trade) Quick one on a flag break. @Father and I won't let you guys go dry.,,BullTrades (3)
2.69994E+17,Cblast#2108,2020-09-21 8:55,@everyone BTO SQ 150c 9/25 @ 1.93,,"👀 (2),ElonP (2)"
2.69994E+17,Cblast#2108,2020-09-21 8:55,"Price target 147.51, Stoo 139.05",,
2.69994E+17,Cblast#2108,2020-09-21 8:56,BTO SQ 150c 9/25 @ 1.93 (for bot),,"BullTrades (7),🙏 (2)"
3.96702E+17,Father#4214,2020-09-21 9:04,@here congrats if you're still holding the TSLA play. it's 4.85 now. Next PT is 439 for TSLA if it holds over 432.8,,"BullTrades (2),👍 (2)"
7.57355E+17,neko neko#4061,2020-09-21 9:14,STC ZM 9/25 540c @1.65 @here for now..,,BullTrades (3)
7.57355E+17,neko neko#4061,2020-09-21 9:16,Missed the pop on this one. Sometimes life gets in the way and you miss exits. That is the problem w/ these way OTM plays 😆,,
7.57355E+17,neko neko#4061,2020-09-21 9:45,BTO CVNA 9/25 190c @.79 @here  (scalp/day-trade),,"BullTrades (3),🙏 (1)"
7.57355E+17,neko neko#4061,2020-09-21 9:45,risky but big payout :p,,
2.69994E+17,Cblast#2108,2020-09-21 9:57,"@here  We are over 40% on the SQ calls, if you have several you can sell partial to reduce risk",,"100000 (10),🔥 (6),😋 (5)"
2.69994E+17,Cblast#2108,2020-09-21 10:29,"STC SQ 150c 9/25 @ 3.96 @here (over 100%, good start to the week)",,"BullTrades (17),🔥 (16),ElonP (7),🥬 (7),vince (6)"
3.96702E+17,Father#4214,2020-09-21 10:40,@here BTO BA 9/25 160c @ 3.25,,👍 (4)
3.96702E+17,Father#4214,2020-09-21 10:40,gap fill to 161. First PT 163.5,,
3.96702E+17,Father#4214,2020-09-21 10:44,BTO BA 9/25 160c @ 3.25 (for bot),,BullTrades (4)
