AuthorID,Author,Date,Content,Attachments,Reactions
6.98075E+17,Mruff#4748,2022-03-14 7:31,BTO MDB 275p 03/18 @ 2.68,,"BullTrades (2),BullTrades (2)"
6.98075E+17,Mruff#4748,2022-03-14 7:42,Liquidity kinda sucks on these not gonna hang around much longer contracts barely moving around,,
6.98075E+17,Mruff#4748,2022-03-14 7:47,STC MDB 275p 03/18 @ 1.65 (I’m keeping one contract as pure lotto in case of gap fill at some point this week),,"BullTrades (2),BullTrades (2)"
3.99451E+17,tradewithnando#0001,2022-03-14 8:35,**REACT IF YOU RECEIVED TEST ALERT**,,"✅ (46),BullTrades (15),🇨🇦 (8),👍 (14)"
2.27573E+17,Malanyr#1620,2022-03-14 8:38,BTO SPY 435c 3/18 @ 1.20,,"BullTrades (4),BullTrades (4),👍 (3)"
2.27573E+17,Malanyr#1620,2022-03-14 8:39,"Go light. Targets: 4260 breaks we get 4280, 4340 on ES. SL: break below 4185",,
2.27573E+17,Malanyr#1620,2022-03-14 8:54,"Take the 25% if you sized heavy, or trim",https://cdn.discordapp.com/attachments/952916697008984154/952942765438824448/IMG_3628.png,🔥 (5)
6.98075E+17,Mruff#4748,2022-03-14 9:16,Back at breakeven. Still holding my lotto. I think I got literally the worst fill possible for this 😑,,
6.98075E+17,Mruff#4748,2022-03-14 9:48,STC MDB 275p 03/18 @3.35 (if you had diamond hands nice trade),,"BullTrades (2),BullTrades (2),👍🏽 (1)"
2.96859E+17,Nickel#6662,2022-03-14 10:54,"BTO MP 6/17 50c @ 3.30 (Long swing, off flow)",,"BullTrades (1),BullTrades (1)"
2.96859E+17,Nickel#6662,2022-03-14 10:56,MP    35.00    44029.99999999999    0.675,,
3.99451E+17,tradewithnando#0001,2022-03-14 11:02,"Make sure to be in #💬︱pro-trading-floor during these hours, you may catch a few easy day trades!",https://cdn.discordapp.com/attachments/952916697008984154/952975038175412254/IMG_0250.png,
3.99451E+17,tradewithnando#0001,2022-03-14 11:02,**$MRNA** after..,https://cdn.discordapp.com/attachments/952916697008984154/952975090335760454/unknown.png,
2.27573E+17,Malanyr#1620,2022-03-14 11:23,"if you didnt trim when suggested, this play is red now. You can choose to cut as we are well under 4185, however i am still holding onto my runner to explore what may be out there later this week during FOMC. We are currently testing the bottom of the triangle range",,salute (1)
2.27573E+17,Malanyr#1620,2022-03-14 11:23,,https://cdn.discordapp.com/attachments/952916697008984154/952980251695276162/unknown.png,👍 (2)
6.98075E+17,Mruff#4748,2022-03-14 11:48,Over 6.00 now,,vince (4)
3.99451E+17,tradewithnando#0001,2022-03-14 12:57,**Reminder: DONT FORCE TRADES**,,👍 (2)
3.99451E+17,tradewithnando#0001,2022-03-14 13:03,BTO 3 SPY 420C 3/16 @ 3.37,,"BullTrades (2),BullTrades (2)"
3.99451E+17,tradewithnando#0001,2022-03-14 13:09,BTO 2 SPY 420C 3/16 @ 3.20,,"BullTrades (3),BullTrades (2),👍 (2)"
3.99451E+17,tradewithnando#0001,2022-03-14 13:18,STC 5 SPY 420C 3/16 @ 3.68,,"BullTrades (2),BullTrades (2)"
3.99451E+17,tradewithnando#0001,2022-03-14 13:21,**$SPY**,https://cdn.discordapp.com/attachments/952916697008984154/953009956540538950/unknown.png,
3.99451E+17,tradewithnando#0001,2022-03-14 13:38,BTO 3 UPS 205C 3/18 @ 2.84,,"BullTrades (1),BullTrades (1)"
3.99451E+17,tradewithnando#0001,2022-03-14 13:42,STC 3 UPS 205C 3/18 @ 3.05,,"BullTrades (1),BullTrades (1),👍 (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:32,BTO 2 DASH 80C 3/18 @ 2.68,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:34,STC 2 DASH 3/18 @ 3.20,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:35,BTO 2 NVDA 225c 3/18 @ 2.60,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:41,BTO SPY 415p 3/16 @2.50,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:41,STC 2 NVDA 225c @ 2.25,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:43,STC SPY 415p 3/16 @ 2.88,,"BullTrades (1),BullTrades (1),🔥 (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:46,BTO 4 MOS 55p 3/18 @ 1.18,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:47,STC 4 MOS 55p 3/18 @ 1.50,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 7:51,"Yes I get in and out very quickly, I understand that it might be difficult to get the same fills. If it runs before you can get in don’t chase",,
2.96859E+17,Nickel#6662,2022-03-15 8:02,BTO CRM 210c 4/14 @ 3.65 (Starter),,"BullTrades (1),BullTrades (1)"
2.96859E+17,Nickel#6662,2022-03-15 8:02,SL Under $190,,
6.98075E+17,Mruff#4748,2022-03-15 8:09,BTO ENPH 145p 3/18 @ 2.56,,"BullTrades (1),BullTrades (1)"
5.32077E+17,WhoStoleMyEggo#3809,2022-03-15 8:15,BTO 2 SPX 3/16 4050P @ 5.20,,"BullTrades (2),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:17,STC ENPH 145p 3/18 @ 2.56 (stopped at entry),,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:19,BTO 2 SHOP 690c 3/18  @ 2.75,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:19,600c*,,
6.98075E+17,Mruff#4748,2022-03-15 8:20,BTO 2 SHOP 600c 3/18 @ 2.75,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:20,STC 2 SHOP 690c 3/18 @2.75 (for bot),,"BullTrades (1),BullTrades (1)"
2.27573E+17,Malanyr#1620,2022-03-15 8:23,"I am still in this play, my average is currently .80 (I added one more contract this morning based on the recapture of 4180 on ES) We are looking for a retest of 4290. Risking only 150$ -- HARD SL on break below 4175",,"🔥 (2),💯 (1),ArmRight (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:29,STC 2 SHOP 600c @ 3.10,,"BullTrades (1),BullTrades (1)"
2.27573E+17,Malanyr#1620,2022-03-15 8:31,.95 from .80 trim!! if you too kmore than 2 contracts,,
5.32077E+17,WhoStoleMyEggo#3809,2022-03-15 8:32,"STC 2 SPX 3/16 4050P @ 2.50 (still looking to short the pop this AM, but SL hit here)",,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:32,This is approaching 100% if you held and didn’t have toilet paper hands like me,,
2.27573E+17,Malanyr#1620,2022-03-15 8:33,Patience pays. We can thank @EnhancedMarket™ for that lesson,https://cdn.discordapp.com/attachments/952916697008984154/953299903126323270/IMG_3631.png,WeeWooG (5)
2.27573E+17,Malanyr#1620,2022-03-15 8:34,"good place to trim this, leave a runner or 2 for the 4245 test if we capture 4220",,
6.98075E+17,Mruff#4748,2022-03-15 8:38,BTO 2 DASH 80C 3/18 @2.68 (ignore for bot),,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:40,STC 2 DASH 80C 3/18 @3.20,,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:40,BTO 2 NVDA 225c 3/18 @2.60 (ignore for bot),,"BullTrades (1),BullTrades (1)"
6.98075E+17,Mruff#4748,2022-03-15 8:41,STC 2 NVDA 225c 3/18 @2.25,,"BullTrades (1),BullTrades (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 8:42,Contracts @ **$7.00**,,fire (1)
6.98075E+17,Mruff#4748,2022-03-15 8:42,STC ENPH 145p 3/18 @2.56,,"BullTrades (2),BullTrades (2)"
6.98075E+17,Mruff#4748,2022-03-15 8:42,STC 2 SHOP 600c 3/18 @3.10,,"BullTrades (2),BullTrades (2)"
6.98075E+17,Mruff#4748,2022-03-15 8:54,BTO 4 MOS 55p 3/18 @ .85,,"BullTrades (1),BullTrades (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 8:58,BTO 3 AMD 100P 3/18 @ .78,,"BullTrades (2),BullTrades (1),🔥 (4)"
5.32077E+17,WhoStoleMyEggo#3809,2022-03-15 9:11,"BTO 2 SPX 3/16 4100P @ 6.00 (quick scalp attempt, tight stop on NHOD)",,"BullTrades (1),BullTrades (1)"
2.96859E+17,Nickel#6662,2022-03-15 9:20,BTO BA 3/18 185c @ 1.30,,"BullTrades (1),BullTrades (1),❓ (2),🤔 (2)"
6.98075E+17,Mruff#4748,2022-03-15 9:20,STC 4 MOS 55p 3/18 @.83,,"BullTrades (1),BullTrades (1)"
5.32077E+17,WhoStoleMyEggo#3809,2022-03-15 9:26,STC 2 SPX 3/16 4100P @ 5.20 (SL),,"BullTrades (1),BullTrades (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 9:30,BTO 5 AMD 100P 3/18 @ .63,,"BullTrades (3),BullTrades (3),👍 (7)"
2.27573E+17,Malanyr#1620,2022-03-15 9:39,"STC SPY 435c 3/18 @ 1.06 (this will be marked as a red trade in the bot, but if you took the avg down with me this morning you should be in profits, closing this alert before FOMC, i will not take any trades tomorrow, until thursday again friends!)",,"BullTrades (1),BullTrades (1),salute (4)"
2.27573E+17,Malanyr#1620,2022-03-15 9:41,Final results of the trade. Who said swinging was dead? :KEKW:,"https://cdn.discordapp.com/attachments/952916697008984154/953317004264210513/IMG_3632.png,https://cdn.discordapp.com/attachments/952916697008984154/953317004473942016/IMG_3633.png","😆 (2),🔥 (1)"
6.98075E+17,Mruff#4748,2022-03-15 9:45,BTO 4 QQQ 320p 3/16 @1.60 (high risk),,"BullTrades (1),BullTrades (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 9:48,Meltdown starts once **$AMD** loses **$107.4**. **-2%** at the moment..,,👍 (9)
6.98075E+17,Mruff#4748,2022-03-15 9:56,STC 2 QQQ 320p 3/16 @ 1.85,,"BullTrades (2),BullTrades (2)"
6.98075E+17,Mruff#4748,2022-03-15 9:56,STC 2 QQQ 320p 3/16 @ 2.12,,"BullTrades (2),BullTrades (2)"
2.27573E+17,Malanyr#1620,2022-03-15 9:57,See why we trimmed where we trimmed? 😉 ES was at a tough resistance zone. And why I warned about buying calls at resistance,,"💯 (2),🙏 (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 9:58,STC 5 AMD 100P 3/18 @ .81,,"BullTrades (2),BullTrades (1),gains (4),🔥 (6),salute (1),😆 (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 10:02,BTO 3 UPS 200P 3/25 @ 1.97,,"BullTrades (1),BullTrades (1),🔥 (2),👍 (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 10:02,**(Starter Position)**,,
3.99451E+17,tradewithnando#0001,2022-03-15 10:11,BTO 2 UPS 200P 3/25 @ 1.87,,"BullTrades (1),BullTrades (1),👍 (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 10:14,**REACT IF YOU’RE RECEIVING ALERTS** @here,,"✅ (33),🇨🇦 (4),🔕 (6),🙅 (4),200iq (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 10:27,BTO 3 UPS 200P 3/25 @ 1.78 **(Last Add)**,,"BullTrades (4),BullTrades (3),👍 (1)"
3.99451E+17,tradewithnando#0001,2022-03-15 10:45,"Top for **$UPS**, let's get it",https://cdn.discordapp.com/attachments/952916697008984154/953333123121315980/unknown.png,"vince (3),👍 (2)"
3.99451E+17,tradewithnando#0001,2022-03-15 10:52,Get ready for **$AMD PT 2**,,vince (1)
3.99451E+17,tradewithnando#0001,2022-03-15 11:02,BTO 5 SPY 430C 3/18 @ 2.27,,"BullTrades (2),BullTrades (2)"
3.99451E+17,tradewithnando#0001,2022-03-15 11:03,**(Quick Scalp/DT)**,,
