AuthorID,Author,Date,Content,Attachments,Reactions
2.69994E+17,Cblast#2108,2022-05-06 13:52,**Coming Soon**,,"🙏 (165),❤️ (112),🔥 (88),💯 (53),🚀 (70),💸 (42),🐐 (44),💰 (44),ArmLeft (23),pepepoo (21),rightleg (20),tendies (17),peepopray (16),mov (15),Weird_Face (13),Cblast (14),ELON (13),100000 (14),FeelsOKMan (12),ElonP (13)"
7.06688E+17,Cedar#9754,2022-05-06 14:20,:CH_Heart:,,"1_ (49),100000 (7),🙏 (1)"
2.69994E+17,Cblast#2108,2022-05-08 13:29,"@everyone **‼️Cblast $100 to $1 Million Challenge ‼️**

Start Date: Friday 05/13
Goal: $1,000,000 🥇

**Info**
•Reversals, Breakouts, Continuation Plays 
•High Quality Setups with Confluence (Chart + Flow) 
•Amount of Contracts will be in Alert 
•Entries/Exits posted in this Channel
*Webull Cash Account",,"🔥 (440),This (116),100000 (89),ArmLeft (85),ArmRight (81),1_ (67),Cblast (54),5head (46),salute (50),AnalystPepe (44),📅 (40),BullTrades (42),GalaxyBrainPepe (40),arrowup (43),fire (57),vince (45),WeeWooG (64),💰 (58),bogged (42),🚀 (70)"
2.69994E+17,Cblast#2108,2022-05-12 7:15,BTO TEST 100c 05/20 @ 1.00,,"BullTrades (109),BullTrades (40),1_ (37),👍 (85),cashFlow (28),coinstack (21),😘 (20),Cblast (3),MonkaS (3),ElonPepe (2),🥰 (2)"
2.69994E+17,Cblast#2108,2022-05-12 7:15,STC TEST 100c 05/20 @ 1.00,,"BullTrades (121),BullTrades (40),👍 (95),XiBless (27),🚀 (40),gains (25),😘 (23),🔥 (27),vince (15),ArmLeft (17),ArmRight (18),🍆 (4),Cblast (5),ElonPepe (5),blobpoliceangery (2)"
2.69994E+17,Cblast#2108,2022-05-13 8:41,"BTO SPY 395p 05/13 @ 0.50 @here (High Risk, 0DTE)",,"BullTrades (59),BullTrades (21),FeelsOKMan (20),1_ (22),peepoeyes (15),🔥 (8)"
2.69994E+17,Cblast#2108,2022-05-13 8:41,Price Target: 397 Stop: HOD,,
2.69994E+17,Cblast#2108,2022-05-13 8:45,STC SPY 395p 05/13 @ 0.65 @here (30%),,"BullTrades (37),BullTrades (17),WeeWooG (20),heart (36),🐐 (23),🤷🏼‍♂️ (6),🔥 (7),💯 (3),🎉 (4),PES_Heart (2),🤌 (3)"
2.69994E+17,Cblast#2108,2022-05-13 8:47,@here No one can complain about fills because this was 0.75 right as I posted my exit +50%,,"❤️ (125),ArmRight (39),🔥 (51),🐐 (28),🖨️ (20),100000 (17),cashFlow (15),💕 (15),💯 (19),Biden (13),👄 (11),fire (14),104 (7),PES_Heart (4),🤌 (4),ElonP (2),AnalystPepe (2)"
2.69994E+17,Cblast#2108,2022-05-13 11:20,"BTO SPY 397p 05/13 @ 0.45 @here (High Risk, 0DTE)",,"BullTrades (40),BullTrades (16),pepedisco (19),😢 (9),FeelsOKMan (3),🔥 (6)"
2.69994E+17,Cblast#2108,2022-05-13 11:21,Price Target: 398.40 Stop: 401.59,,
2.69994E+17,Cblast#2108,2022-05-13 11:26,@here 401.59 stop which is intraday 50EMA and confirms trend flip,,"👍 (62),🤦‍♂️ (15),🔥 (10),💪🏽 (6),🐐 (10),👨‍💻 (6),FPepe (3),🙏 (2),🚀 (4),arrowdown (2),💥 (3)"
2.69994E+17,Cblast#2108,2022-05-13 11:42,STC SPY 397p 05/13 @ 0.60 @here (33%),,"BullTrades (45),BullTrades (26),🔥 (62),💯 (31),❤️ (35),pepedisco (16),🍴 (13),Healy (10),hug (10),thistbh (10),trumppump (11),peepono (4),✅ (5),🐐 (5),ElonPepe (1),💋 (4),fire (6),CH_Heart (5),aMonkaSmugSwag (3),Biden (2)"
